,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents
297,298,15,['000'],0,S,0,0,,
298,299,15,['000'],0,A,0,0,,
299,300,15,['010'],2,B,0,0,,
300,301,15,['000'],0,S,0,0,,
301,302,15,['000'],0,A,0,0,,
302,303,15,['000'],0,B,0,0,,
303,304,15,['000'],0,S,0,0,,
304,305,15,['000'],0,A,0,0,,
305,306,15,['010'],2,B,0,0,,
306,307,15,['000'],0,S,0,0,,
307,308,15,['000'],0,A,0,0,,
308,309,15,['010'],2,B,0,0,,
309,310,15,['000'],0,S,0,0,,
310,311,15,['000'],0,A,0,0,,
311,312,15,['000'],0,B,0,0,,
312,313,15,['000'],0,S,0,0,,
313,314,15,['000'],0,A,0,0,,
314,315,14,['010'],2,B,0,0,,
315,316,15,['000'],0,S,0,0,,
316,317,15,['000'],0,A,0,0,,
317,318,15,['000'],0,B,0,0,,
318,319,15,['000'],0,S,0,0,,
319,320,15,['000'],0,A,0,0,,
320,321,15,['000'],0,B,0,0,,
321,322,15,['000'],0,S,0,0,,
322,323,15,['000'],0,A,0,0,,
323,324,15,['000'],0,B,0,0,,
324,325,15,['000'],0,S,0,0,,
325,326,15,['010'],2,A,0,0,,
326,327,15,['010'],2,B,0,0,,
327,328,15,['001'],1,S,0,0,,
328,329,15,['000'],0,A,0,0,,
329,330,15,['000'],0,B,0,0,,
330,331,15,['000'],0,S,0,0,,
331,332,15,['001'],1,A,0,0,,
332,333,15,['010'],2,B,0,0,,
333,334,15,['000'],0,S,0,0,,
334,335,15,['000'],0,A,0,0,,
335,336,15,['001'],1,B,0,0,,
336,337,15,['000'],0,S,0,0,,
337,338,15,['000'],0,A,0,0,,
338,339,15,['010'],2,B,0,0,,
339,340,14,['001'],1,S,0,0,,
340,341,15,['000'],0,A,0,0,,
341,342,15,['000'],0,B,0,0,,
342,343,15,['010'],2,S,0,0,,
343,344,15,['001'],1,A,0,0,,
344,345,15,['010'],2,B,0,0,,
345,346,15,['000'],0,S,0,0,,
346,347,15,['000'],0,A,0,0,,
347,348,15,['000'],0,B,0,0,,
348,349,15,['010'],2,S,0,0,,
349,350,15,['000'],0,A,0,0,,
350,351,15,['000'],0,B,0,0,,
351,352,15,['000'],0,S,0,0,,
352,353,15,['001'],1,A,0,0,,
353,354,15,['000'],0,B,0,0,,
354,355,15,['000'],0,S,0,0,,
355,356,15,['010'],2,A,0,0,,
356,357,15,['000'],0,B,0,0,,
357,358,15,['000'],0,S,0,0,,
358,359,15,['000'],0,A,0,0,,
359,360,15,['000'],0,B,0,0,,
360,361,15,['000'],0,S,0,0,,
361,362,15,['000'],0,A,0,0,,
362,363,14,['010'],2,B,0,0,,
363,364,15,['010'],2,S,0,0,,
364,365,15,['000'],0,A,0,0,,
365,366,15,['000'],0,B,0,0,,
366,367,15,['000'],0,S,0,0,,
367,368,15,['000'],0,A,0,0,,
368,369,15,['010'],2,B,0,0,,
369,370,15,['010'],2,S,0,0,,
370,371,15,['000'],0,A,0,0,,
371,372,15,['001'],1,B,0,0,,
372,373,15,['000'],0,S,0,0,,
373,374,15,['000'],0,A,0,0,,
374,375,15,['000'],0,B,0,0,,
375,376,15,['000'],0,S,0,0,,
376,377,15,['010'],2,A,0,0,,
377,378,15,['010'],2,B,0,0,,
378,379,15,['000'],0,S,0,0,,
379,380,15,['000'],0,A,0,0,,
380,381,15,['010'],2,B,0,0,,
381,382,15,['010'],2,S,0,0,,
382,383,15,['000'],0,A,0,0,,
383,384,15,['000'],0,B,0,0,,
384,385,15,['000'],0,S,0,0,,
385,386,15,['000'],0,A,0,0,,
386,387,15,['001'],1,B,0,0,,
387,388,15,['000'],0,S,0,0,,
388,389,15,['000'],0,A,0,0,,
389,390,15,['010'],2,B,0,0,,
390,391,15,['000'],0,S,0,0,,
391,392,15,['010'],2,A,0,0,,
392,393,15,['010'],2,B,0,0,,
393,394,15,['000'],0,S,0,0,,
394,395,15,['000'],0,A,0,0,,
395,396,15,['010'],2,B,0,0,,
396,397,15,['000'],0,S,0,0,,
397,398,15,['000'],0,A,0,0,,
398,399,15,['010'],2,B,0,0,,
399,400,15,['011'],3,S,0,0,,
400,401,15,['000'],0,A,0,0,,
401,402,15,['010'],2,B,0,0,,
402,403,15,['000'],0,S,0,0,,
403,404,15,['000'],0,A,0,0,,
404,405,15,['010'],2,B,0,0,,
405,406,15,['000'],0,S,0,0,,
406,407,15,['010'],2,A,0,0,,
407,408,15,['010'],2,B,0,0,,
408,409,15,['010'],2,S,0,0,,
409,410,15,['010'],2,A,0,0,,
410,411,14,['010'],2,B,0,0,,
411,412,15,['000'],0,S,0,0,,
412,413,15,['000'],0,A,0,0,,
413,414,15,['010'],2,B,0,0,,
414,415,15,['000'],0,S,0,0,,
415,416,15,['000'],0,A,0,0,,
416,417,15,['010'],2,B,0,0,,
417,418,15,['000'],0,S,0,0,,
418,419,15,['000'],0,A,0,0,,
419,420,14,['010'],2,B,0,0,,
420,421,15,['001'],1,S,0,0,,
421,422,15,['000'],0,A,0,0,,
422,423,15,['010'],2,B,0,0,,
423,424,15,['000'],0,S,0,0,,
424,425,15,['000'],0,A,0,0,,
425,426,15,['010'],2,B,0,0,,
426,427,15,['000'],0,S,0,0,,
427,428,14,['010'],2,A,0,0,,
428,429,15,['000'],0,B,0,0,,
429,430,15,['000'],0,S,0,0,,
430,431,15,['000'],0,A,0,0,,
431,432,15,['000'],0,B,0,0,,
432,433,15,['000'],0,S,0,0,,
433,434,15,['000'],0,A,0,0,,
434,435,15,['010'],2,B,0,0,,
435,436,15,['010'],2,S,0,0,,
436,437,15,['001'],1,A,0,0,,
437,438,13,['001'],1,B,0,0,,
438,439,15,['000'],0,S,0,0,,
439,440,15,['000'],0,A,0,0,,
440,441,15,['000'],0,B,0,0,,
441,442,15,['000'],0,S,0,0,,
442,443,15,['010'],2,A,0,0,,
443,444,15,['001'],1,B,0,0,,
444,445,15,['000'],0,S,0,0,,
445,446,15,['010'],2,A,0,0,,
446,447,14,['010'],2,B,0,0,,
447,448,15,['000'],0,S,0,0,,
448,449,15,['000'],0,A,0,0,,
449,450,15,['010'],2,B,0,0,,
450,451,15,['000'],0,S,0,0,,
451,452,15,['000'],0,A,0,0,,
452,453,15,['010'],2,B,0,0,,
453,454,15,['010'],2,S,0,0,,
454,455,14,['010'],2,A,0,0,,
455,456,15,['001'],1,B,0,0,,
456,457,15,['000'],0,S,0,0,,
457,458,15,['000'],0,A,0,0,,
458,459,14,['001'],1,B,0,0,,
459,460,15,['010'],2,S,0,0,,
460,461,15,['000'],0,A,0,0,,
461,462,15,['001'],1,B,0,0,,
462,463,15,['010'],2,S,0,0,,
463,464,15,['010'],2,A,0,0,,
464,465,15,['010'],2,B,0,0,,
465,466,15,['000'],0,S,0,0,,
466,467,15,['001'],1,A,0,0,,
467,468,15,['010'],2,B,0,0,,
